idade_aluno,fase,ponto_de_virada,pedra,ian,ida,ieg,iaa,ips,ipp,ipv,inde,instituicao_ensino_aluno_2020,anos_pm_2020
17,6,0,Quartzo,5.0,2.6666666666666665,4.6,5.41667,5.0,6.71875,7.0416675,5.075208833333333,1,1
8,0,0,Topázio,10.0,10.0,10.0,8.500020000000001,7.5,7.5,5.74999,8.5,1,1
14,5,0,Topázio,10.0,8.0,9.4,10.00002,8.125,8.958333333333334,8.05556,8.799447333333335,1,2
7,0,0,Topázio,10.0,10.0,10.0,8.500020000000001,7.5,7.5,7.166665,8.783335000000001,1,0
11,1,0,Ametista,5.0,7.5,9.5,9.50002,7.5,9.166666666666666,8.611113333333334,8.238891333333333,1,1
11,2,0,Topázio,10.0,9.0,9.5,10.00002,7.5,8.125,7.75,8.812502,1,1
14,3,0,Ametista,5.0,8.0,6.8,10.00002,7.5,7.96875,8.166667499999999,7.6402105,1,1
14,3,0,Ametista,5.0,7.666666666666667,6.7,9.16668,10.0,7.65625,7.7916675,7.613959833333333,1,0
12,1,0,Quartzo,5.0,0.0,7.3,8.500020000000001,6.25,7.5,8.0,5.785002,1,1
10,2,0,Ágata,10.0,2.5,7.9,9.000020000000001,6.25,7.5,7.22222,6.7994460000000005,1,1
9,1,0,Ametista,10.0,8.5,8.9,8.500020000000001,5.625,8.4375,8.0,8.336252,1,1
17,5,0,Ágata,5.0,4.333333333333333,5.8,9.16668,7.5,8.125,5.499996666666667,6.105834000000001,1,0
12,2,0,Ágata,5.0,3.0,7.1,8.500020000000001,7.5,6.666666666666667,6.666663333333334,6.120001333333334,1,0
10,1,0,Ametista,5.0,10.0,9.4,9.50002,7.5,7.5,7.166663333333332,8.263334666666667,1,0
10,1,0,Ágata,5.0,5.0,5.2,9.000020000000001,6.875,8.541666666666668,8.055556666666668,6.59278,1,1
15,4,0,Quartzo,5.0,0.0,2.8,9.58335,7.5,7.916666666666668,5.611103333333333,4.682222333333334,1,2
11,2,0,Quartzo,10.0,1.5,5.7,7.91668,7.5,7.083333333333333,6.888883333333332,6.067778,1,1
14,3,0,Quartzo,5.0,1.6666666666666667,5.2,9.16668,7.5,7.291666666666667,6.611106666666666,5.591389333333334,1,0
15,5,1,Ametista,10.0,6.333333333333333,9.0,9.58335,4.375,8.59375,8.958337499999999,8.113544166666667,1,4
11,1,0,Ágata,5.0,4.5,8.0,8.500020000000001,7.5,8.125,7.916665,6.995835000000001,1,0
11,1,0,Ametista,5.0,9.5,8.1,9.50002,5.625,8.75,8.611113333333334,8.129724666666666,1,1
10,1,0,Ametista,5.0,9.0,8.9,9.50002,7.5,7.291666666666667,7.333333333333333,7.975835333333334,1,0
11,3,0,Ametista,10.0,6.333333333333333,9.0,6.24999,7.5,7.96875,8.6250075,7.963542166666667,0,1
17,5,0,Ágata,5.0,4.333333333333333,6.5,6.24999,7.5,8.333333333333334,6.88888,6.252775000000001,1,0
12,2,0,Ágata,5.0,6.0,8.0,9.000020000000001,5.0,7.5,6.83333,6.816668000000001,1,3
8,0,0,Topázio,10.0,9.0,10.0,10.00002,10.0,7.8125,7.416665,9.064585,1,0
7,0,0,Topázio,10.0,10.0,10.0,10.00002,7.5,7.5,8.083335,9.116669,1,1
16,6,0,Quartzo,10.0,3.1666666666666665,6.5,0.0,7.5,7.1875,6.9999975,5.802082833333333,1,2
11,2,0,Ametista,10.0,3.5,9.7,9.000020000000001,7.5,7.5,7.75,7.590002,1,2
12,2,0,Ametista,5.0,7.5,8.9,6.91668,7.5,7.708333333333334,7.499996666666666,7.492500666666667,1,1
17,5,0,Ágata,5.0,4.333333333333333,7.8,9.16668,3.125,7.708333333333334,7.555553333333333,6.437778666666668,1,1
10,1,0,Ametista,5.0,9.0,7.1,9.000020000000001,7.5,7.916666666666668,7.833333333333333,7.728335333333334,1,0
14,4,0,Ametista,10.0,6.333333333333333,8.0,8.75001,5.0,8.541666666666666,8.05556,7.706946333333334,0,4
15,4,1,Ametista,5.0,8.0,9.1,9.58335,9.375,8.125,8.722226666666666,8.372780333333333,1,1
16,5,0,Ágata,5.0,6.0,8.8,7.91667,7.5,7.083333333333334,6.833333333333333,7.0766670000000005,1,0
14,2,0,Quartzo,5.0,0.0,8.0,6.9166799999999995,7.5,8.541666666666666,6.888886666666666,5.773612,1,1
13,2,0,Ametista,5.0,6.5,8.3,8.500020000000001,7.5,6.458333333333334,8.277776666666666,7.361390666666666,0,2
13,1,0,Ametista,5.0,10.0,6.8,9.50002,7.5,6.5625,7.75,7.766252,1,2
10,1,0,Ametista,5.0,9.5,8.9,8.000020000000001,7.5,7.1875,7.916665,8.032085,1,0
15,4,0,Quartzo,5.0,2.6666666666666665,1.0,9.16668,7.5,8.125,5.1666566666666665,4.745832666666667,1,1
9,0,0,Ametista,5.0,9.5,10.0,8.500020000000001,7.5,7.5,7.33333,8.216668,1,0
14,3,0,Ametista,5.0,8.666666666666666,8.8,9.58335,7.5,8.125,7.833333333333334,8.080835,1,0
11,2,0,Ametista,10.0,8.0,9.6,9.50002,5.0,7.708333333333334,8.16667,8.374169333333333,0,2
11,2,0,Ametista,10.0,5.0,9.4,9.000020000000001,7.5,8.125,7.5,7.842502,1,0
17,5,0,Ametista,5.0,6.666666666666667,9.6,9.16668,6.25,7.03125,7.7916625,7.556458833333334,1,2
10,1,0,Quartzo,5.0,0.0,6.5,9.000020000000001,7.5,6.875,7.333333333333333,5.604168666666667,1,0
10,1,0,Ametista,5.0,10.0,9.2,6.41668,6.875,7.291666666666667,7.5,7.898334666666667,1,1
14,3,0,Ametista,5.0,6.0,8.6,8.75001,7.5,7.708333333333334,7.611113333333334,7.338057,1,0
11,2,0,Quartzo,10.0,0.0,8.0,8.000020000000001,5.0,6.25,6.583325,5.841667000000001,1,2
8,0,0,Topázio,10.0,9.0,10.0,9.000020000000001,7.5,7.8125,6.99999,8.631250000000001,1,0
10,1,0,Ágata,5.0,6.5,6.2,8.500020000000001,5.0,6.5625,8.0,6.6462520000000005,1,2
7,0,0,Ágata,10.0,7.0,10.0,9.000020000000001,5.625,2.5,4.333349999999999,6.979172000000001,1,0
9,1,0,Ametista,10.0,7.0,8.5,8.000020000000001,7.5,7.5,7.833333333333333,7.966668666666667,1,0
11,1,0,Ametista,5.0,9.0,8.1,9.50002,7.5,8.125,8.0,8.032502000000001,1,0
16,7,0,Quartzo,10.0,4.5,2.7,7.5,4.375,6.5625,6.333325,5.550414999999999,1,2
15,5,0,Ametista,10.0,7.666666666666667,5.3,8.33334,7.5,7.708333333333334,7.38889,7.425278666666666,1,1
16,6,0,Ágata,10.0,3.0,8.7,7.5,5.625,8.125,8.333335,7.131667,1,1
10,1,0,Quartzo,5.0,0.0,4.1,8.000020000000001,6.875,7.1875,7.75,5.076252,1,2
10,0,0,Ágata,5.0,9.5,10.0,8.500020000000001,5.0,2.5,4.99999,7.0,1,1
11,3,0,Quartzo,10.0,0.0,5.7,7.91667,7.5,7.34375,7.0833325,5.8327085,1,1
18,7,0,Ágata,5.0,5.666666666666667,8.3,7.91667,6.875,7.5,7.7916675,7.080833833333333,1,1
17,7,1,Ametista,10.0,7.166666666666667,8.9,8.75001,6.875,8.125,9.2083425,8.430002833333335,0,1
16,6,0,Quartzo,10.0,5.333333333333333,3.0,0.0,6.875,7.5,6.9999975,5.504166166666667,1,2
12,1,0,Ágata,5.0,7.5,6.0,8.000020000000001,6.875,7.1875,7.75,6.956252,1,0
11,2,0,Ametista,10.0,7.5,7.4,8.500020000000001,5.625,8.125,8.222223333333332,7.849446666666667,0,2
10,1,0,Ágata,5.0,7.5,5.3,8.91668,7.5,6.875,7.333333333333333,6.8558346666666665,1,1
15,4,0,Quartzo,5.0,6.333333333333333,5.3,7.5,5.0,6.25,6.166665,5.934999666666666,0,4
9,0,0,Ametista,5.0,7.25,10.0,9.50002,6.25,6.875,7.666665,7.745835,1,1
10,1,0,Ágata,5.0,8.0,8.3,8.000020000000001,5.0,7.291666666666667,7.333333333333333,7.2558353333333345,1,0
11,1,0,Ágata,5.0,7.5,5.8,9.000020000000001,5.0,7.083333333333333,7.611106666666666,6.790556666666666,1,0
11,1,0,Ametista,5.0,6.5,9.3,8.500020000000001,7.5,7.1875,7.583335,7.495419,1,2
8,0,0,Ametista,10.0,10.0,10.0,9.000020000000001,5.0,2.5,5.749995,7.800001000000001,1,0
15,4,0,Ametista,5.0,6.0,10.0,8.75001,6.875,8.125,7.777783333333335,7.630557666666667,1,1
16,5,0,Quartzo,5.0,1.3333333333333333,0.8,9.58335,3.125,7.8125,6.749995,4.328750666666667,1,4
14,3,0,Ágata,5.0,5.333333333333333,6.8,7.91667,4.375,7.708333333333334,7.611103333333333,6.448887666666667,1,2
15,3,0,Ágata,5.0,6.0,8.7,8.33334,4.375,8.125,8.38889,7.201112,1,1
17,5,0,Ametista,5.0,6.666666666666667,9.7,7.5,6.875,8.4375,8.124995,7.679582333333333,0,4
10,0,0,Ametista,5.0,10.0,9.8,10.00002,7.5,7.1875,7.5,8.428752,1,1
8,0,0,Ametista,10.0,9.5,10.0,8.500020000000001,4.375,2.5,5.166675,7.470837,1,0
12,3,1,Ametista,10.0,6.666666666666667,7.2,9.16668,7.5,8.125,9.000003333333332,8.052502,1,2
17,6,0,Quartzo,5.0,3.6666666666666665,4.9,8.33334,7.5,7.5,5.7083325,5.688333833333334,1,1
11,1,0,Ametista,5.0,10.0,8.5,7.91668,7.5,7.1875,7.916665,8.043751,1,0
9,1,0,Ametista,10.0,6.5,8.4,9.000020000000001,7.5,7.1875,7.25,7.798752,1,1
9,1,0,Topázio,10.0,10.0,9.4,7.41668,7.5,8.125,7.75,8.734168,1,0
10,1,0,Ágata,5.0,5.0,6.9,8.500020000000001,7.5,7.291666666666667,7.666666666666666,6.742502000000001,1,0
11,2,0,Ágata,10.0,4.25,7.5,9.000020000000001,6.875,7.083333333333334,7.833329999999999,7.212501333333334,1,3
13,3,0,Ametista,10.0,8.0,7.5,7.91667,5.0,8.4375,7.5,7.735417,1,3
16,4,0,Quartzo,5.0,1.6666666666666667,7.0,9.58335,7.5,7.1875,6.8333325,6.027084833333334,1,1
11,1,0,Ametista,5.0,10.0,8.5,9.000020000000001,4.375,8.125,7.166665,7.783335,1,3
12,2,0,Quartzo,5.0,0.0,4.6,0.0,6.875,7.708333333333334,6.777773333333332,4.233888,1,0
12,2,0,Quartzo,5.0,2.75,5.9,9.000020000000001,5.0,7.5,7.055553333333332,5.791112666666667,1,1
8,0,0,Ametista,10.0,9.5,9.9,8.500020000000001,7.5,2.5,5.0,7.730002000000001,1,1
9,0,0,Ametista,5.0,9.5,10.0,9.000020000000001,8.125,2.5,7.666665,7.895835000000001,1,1
11,2,0,Ágata,10.0,7.0,3.3,9.000020000000001,5.0,6.875,7.916665,6.730835000000001,1,2
10,2,0,Ágata,10.0,4.5,6.4,9.000020000000001,6.875,5.625,7.58333,6.846668,1,2
17,6,0,Quartzo,5.0,3.1666666666666665,7.0,7.5,6.25,7.1875,6.70833,5.968749333333333,1,3
15,5,1,Ametista,10.0,6.666666666666667,9.2,7.91667,5.0,9.0625,9.250005,8.221251333333335,0,3
15,4,1,Ametista,5.0,6.0,8.8,5.41667,7.5,8.125,9.11112,7.386391000000001,1,1
13,2,0,Ágata,5.0,7.5,7.7,7.41668,6.875,6.875,7.5,7.156668,1,1
11,3,0,Ametista,10.0,6.0,6.7,9.58335,4.375,8.541666666666666,8.111106666666666,7.412223000000001,0,3
8,0,1,Topázio,10.0,10.0,10.0,9.000020000000001,8.125,10.0,10.00001,9.712504,1,0
17,6,0,Ágata,5.0,6.333333333333333,8.3,8.33334,6.875,7.65625,7.04167,7.1214596666666665,0,3
8,0,0,Topázio,10.0,7.5,10.0,10.00002,7.5,7.8125,8.16667,8.664586,1,1
16,4,0,Ametista,5.0,5.333333333333333,8.8,7.50001,7.5,8.749999999999998,8.055560000000002,7.312779666666668,1,0
9,2,0,Ametista,10.0,6.25,9.7,8.000020000000001,7.5,9.166666666666666,8.500003333333334,8.356669333333334,1,1
13,2,0,Ágata,5.0,3.0,7.9,9.000020000000001,4.375,5.0,8.5,6.2175020000000005,1,4
12,3,0,Ametista,10.0,6.666666666666667,7.4,9.58335,7.5,7.96875,7.5,7.818543333333334,0,3
9,1,0,Topázio,10.0,10.0,9.5,8.500020000000001,7.5,7.291666666666667,7.944443333333333,8.818057333333334,1,1
8,0,1,Topázio,10.0,10.0,10.0,9.000020000000001,7.5,10.0,9.833345,9.616671,1,1
10,1,0,Ágata,5.0,4.25,6.7,9.000020000000001,7.5,7.291666666666667,7.666666666666667,6.602502,1,1
8,1,0,Ametista,10.0,9.0,9.4,8.500020000000001,7.5,6.458333333333334,7.722219999999999,8.470279333333334,1,0
14,4,1,Ametista,10.0,5.333333333333333,9.4,9.16668,5.625,8.958333333333332,9.166676666666666,8.155003333333333,0,4
16,6,0,Quartzo,10.0,2.0,4.3,0.0,7.5,7.8125,7.1249975,5.2162495,1,2
10,1,0,Ametista,5.0,9.0,7.5,9.50002,5.0,6.875,7.444443333333333,7.426390666666667,1,2
8,0,0,Topázio,10.0,8.5,10.0,9.000020000000001,7.5,7.8125,7.333335,8.597919000000001,1,0
14,4,0,Ametista,10.0,7.666666666666667,6.2,7.08334,6.875,7.96875,7.2916675,7.424375833333333,1,1
13,3,0,Quartzo,10.0,1.3333333333333333,6.4,9.16668,4.375,6.666666666666667,4.666663333333334,5.500834,0,3
8,0,0,Ágata,10.0,0.0,10.0,9.50002,7.5,7.5,7.583335,6.966669,1,0
15,5,1,Ametista,10.0,6.666666666666667,9.6,9.58335,5.0,8.59375,9.125005000000002,8.396044333333334,0,3
14,3,0,Topázio,8.338,8.224,8.438,7.5,8.452,7.884,7.997,7.855,0,1
